Combination1;Combination2;Combination3;Task_width;Task_height
./snippets/Final/ArraySum(WOC).png;./snippets/Final/ArraySum(WIC).png;./snippets/Final/ArraySum(CNL).png;1920;1080
./snippets/Final/ArraySumresp(WOC).png;./snippets/Final/ArraySumresp(WIC).png;./snippets/Final/ArraySumresp(CNL).png;1920;1080
./snippets/Final/BubbleSort(CNL).png;./snippets/Final/BubbleSort(WOC).png;./snippets/Final/BubbleSort(WIC).png;1920;1080
./snippets/Final/BubbleSortresp(CNL).png;./snippets/Final/BubbleSortresp(WOC).png;./snippets/Final/BubbleSortresp(WIC).png;1920;1080
./snippets/Final/NumberCheck(WIC).png;./snippets/Final/NumberCheck(CNL).png;./snippets/Final/NumberCheck(WOC).png;1920;1080
./snippets/Final/NumberCheckresp(WIC).png;./snippets/Final/NumberCheckresp(CNL).png;./snippets/Final/NumberCheckresp(WOC).png;1920;1080
./snippets/Final/ContainsSubstring(WOC).png;./snippets/Final/ContainsSubstring(WIC).png;./snippets/Final/ContainsSubstring(CNL).png;1920;1080
./snippets/Final/ContainsSubstringresp(WOC).png;./snippets/Final/ContainsSubstringresp(WIC).png;./snippets/Final/ContainsSubstringresp(CNL).png;1920;1080
./snippets/Final/Power(CNL).png;./snippets/Final/Power(WOC).png;./snippets/Final/Power(WIC).png;1920;1080
./snippets/Final/Powerresp(CNL).png;./snippets/Final/Powerresp(WOC).png;./snippets/Final/Powerresp(WIC).png;1920;1080
./snippets/Final/BinaryConversion(WIC).png;./snippets/Final/BinaryConversion(CNL).png;./snippets/Final/BinaryConversion(WOC).png;1920;1080
./snippets/Final/BinaryConversionresp(WIC).png;./snippets/Final/BinaryConversionresp(CNL).png;./snippets/Final/BinaryConversionresp(WOC).png;1920;1080
./snippets/Final/MultiplyMatrix(WOC).png;./snippets/Final/MultiplyMatrix(WIC).png;./snippets/Final/MultiplyMatrix(CNL).png;1920;1080
./snippets/Final/MultiplyMatrixresp(WOC).png;./snippets/Final/MultiplyMatrixresp(WIC).png;./snippets/Final/MultiplyMatrixresp(CNL).png;1920;1080
./snippets/Final/PrimeNumber(CNL).png;./snippets/Final/PrimeNumber(WOC).png;./snippets/Final/PrimeNumber(WIC).png;1920;1080
./snippets/Final/PrimeNumberresp(CNL).png;./snippets/Final/PrimeNumberresp(WOC).png;./snippets/Final/PrimeNumberresp(WIC).png;1920;1080